priority_rank,school_id,school_name,region,latest_year,latest_gpa,latest_pass_rate,latest_sat,size_band,severity_score,trend_decline_score,recoverability_score,priority_score,priority_category,gpa_slope,pass_rate_slope,similar_school_count,evidence_years,first_year,data_quality
5465,S1250,ST. MARY'S MPANDA SECONDARY SCHOOL,KATAVI,2025,2.5311,100.0,37.0,Small,19.138749999999998,6.519999999998906,75.64102564102569,26.65358012820481,Low,0.03259999999999453,4.256661309384458e-15,965,10,2016,Complete
5466,S1243,BISHOP KISANJI SECONDARY SCHOOL,TABORA,2025,2.8421,100.0,8.0,Small,23.026249999999997,0.0,75.64102564102569,26.641330128205137,Low,-0.12643000000002616,9.71428571428568,965,10,2016,Complete
5467,S2315,KANDOTO SAYANSI GIRLS' SECONDARY SCHOOL,KILIMANJARO,2025,2.0619,100.0,97.0,Large,13.273750000000001,0.0,100.0,26.636875,Low,-0.010959999999996814,4.256661309384458e-15,862,10,2016,Complete
5468,S5054,SEGA GIRLS' SECONDARY SCHOOL,MOROGORO,2025,2.2548,100.0,67.0,Medium,15.684999999999999,0.0,93.91258318209317,26.625016636418636,Low,-0.06774000000001242,0.8823529411764525,862,10,2016,Complete
5469,S3867,ST. TERESA OF AVILA GIRLS' SECONDARY SCHOOL,KILIMANJARO,2025,2.2526,100.0,60.0,Medium,15.657500000000002,0.0,93.91258318209317,26.611266636418634,Low,-0.026680000000006816,4.256661309384458e-15,862,10,2016,Complete
5470,S5681,ST. ANTHONY TECHNICAL SECONDARY SCHOOL,KILIMANJARO,2025,2.837,100.0,26.0,Small,22.962500000000002,0.0,75.64102564102569,26.60945512820514,Low,-0.029980000000001,4.256661309384458e-15,965,6,2020,Complete
5471,S4092,BUSEGWE GIRLS' SECONDARY SCHOOL,MARA,2025,2.8366,100.0,28.0,Small,22.957499999999996,0.0,75.64102564102569,26.606955128205136,Low,-0.0657499999999939,4.256661309384458e-15,965,10,2016,Complete
5472,S0305,BULUBA SECONDARY SCHOOL,SHINYANGA,2025,2.8353,100.0,7.0,Small,22.941250000000004,0.0,75.64102564102569,26.59883012820514,Low,-0.3386600000000068,3.333333333333258,965,10,2016,Complete
5473,S4675,HOJA SECONDARY SCHOOL,RUVUMA,2025,2.8346,100.0,40.0,Small,22.9325,0.0,75.64102564102569,26.59445512820514,Low,-0.13255000000001402,0.2941176470589033,965,10,2016,Complete
5474,S4684,NAR SECONDARY SCHOOL,MANYARA,2025,2.8311,100.0,37.0,Small,22.88875,0.0,75.64102564102569,26.57258012820514,Low,-0.16542000000001064,4.256661309384458e-15,965,10,2016,Complete
5475,S3097,DYNAMIC HIGH SCHOOL,DAR ES SALAAM,2025,2.3432,95.65217391304348,23.0,Small,18.963913043478257,6.521739130435209,75.64102564102569,26.56668338907483,Low,-0.24917000000000464,-1.3043478260870418,965,10,2016,Complete
5476,S4808,EMBEKO SECONDARY SCHOOL,DODOMA,2025,2.8283,100.0,36.0,Small,22.85375,0.0,75.64102564102569,26.55508012820514,Low,-0.04522000000000123,4.256661309384458e-15,965,10,2016,Complete
5477,S2804,MUSOMA UTALII SECONDARY SCHOOL,MARA,2025,2.6732,96.15384615384616,26.0,Small,22.83807692307692,0.0,75.64102564102569,26.547243589743598,Low,-0.06484000000001483,2.552036199095049,965,10,2016,Complete
5478,S1197,GREEN ACRES SECONDARY SCHOOL,DAR ES SALAAM,2025,2.4195,100.0,12.0,Small,17.743750000000002,8.393151515151327,75.64102564102569,26.51802558275054,Low,0.03438999999999933,-0.3030303030302922,965,10,2016,Complete
5479,S1577,FANAKA MEMORIAL SECONDARY SCHOOL,DAR ES SALAAM,2025,2.8176,100.0,26.0,Small,22.720000000000002,0.0,75.64102564102569,26.488205128205138,Low,-0.1684800000000041,1.1764705882355775,965,10,2016,Complete
5480,S5302,ST. XAVIER'S VISITATION SECONDARY SCHOOL,RUVUMA,2025,2.813,100.0,18.0,Small,22.6625,0.0,75.64102564102569,26.45945512820514,Low,-0.15723000000000995,4.256661309384458e-15,965,8,2018,Complete
5481,S6698,PRECIOUS SECONDARY SCHOOL,DAR ES SALAAM,2025,2.2274,100.0,51.0,Medium,15.342499999999998,0.0,93.91258318209317,26.453766636418635,Low,,,862,1,2025,Insufficient trend history
5482,S5819,VICTORY MIONO SECONDARY SCHOOL,PWANI,2025,2.4019,100.0,18.0,Small,17.52375,8.511999999998828,75.64102564102569,26.443680128204786,Low,0.042559999999994144,4.256661309384458e-15,965,6,2020,Complete
5483,S0323,LAKE SECONDARY SCHOOL,MWANZA,2025,2.0305,100.0,82.0,Large,12.88125,0.0,100.0,26.440625,Low,-0.03982000000000449,4.256661309384458e-15,862,10,2016,Complete
5484,S3539,ST. MARY'S MBEYA SECONDARY SCHOOL,MBEYA,2025,2.2246,100.0,63.0,Medium,15.307500000000001,0.0,93.91258318209317,26.436266636418637,Low,-0.01365999999999166,4.256661309384458e-15,862,10,2016,Complete
5485,S0104,BWIRU BOYS' SECONDARY SCHOOL,MWANZA,2025,2.0274,100.0,136.0,Very Large,12.842500000000001,0.0,100.0,26.42125,Low,-0.03797999999999913,4.256661309384458e-15,856,10,2016,Complete
5486,S6145,ZANZIBAR STEINER SECONDARY SCHOOL,MJINI MAGHARIBI,2025,2.8046,100.0,16.0,Small,22.5575,0.0,75.64102564102569,26.40695512820514,Low,-0.10912000000002456,0.23809523809541605,965,4,2022,Complete
5487,S1198,TANZANIA ADVENTIST SECONDARY SCHOOL,ARUSHA,2025,2.2198,100.0,63.0,Medium,15.247500000000002,0.0,93.91258318209317,26.406266636418636,Low,-0.09004999999999617,4.256661309384458e-15,862,10,2016,Complete
