school_id,school_name,region,latest_year,latest_gpa,latest_pass_rate,latest_sat,pass_rate_decline_score,subject_failure_score,trend_instability_score,risk_score,risk_level,pass_rate_slope,subject_failure_rate,subject_count,evidence_years,data_quality
S3306,UDORO SECONDARY SCHOOL,KILIMANJARO,2025,3.6843,97.43589743589743,78.0,7.867977093327305,27.556325823223574,42.97501541937976,24.30659321011192,Safe,-0.7867977093327305,27.556325823223574,9,10,Complete
S2212,MWESE SECONDARY SCHOOL,KATAVI,2025,4.0419,94.73684210526315,57.0,0.0,48.10924369747899,32.89699997540475,24.30187310186512,Safe,1.3235801367826412,48.10924369747899,10,10,Complete
S0910,INCHUGU SECONDARY SCHOOL,MARA,2025,3.6855,96.58536585365853,205.0,0.0,27.774172615184938,53.19719178010469,24.291409318586886,Safe,5.616845689723857,27.774172615184938,9,10,Complete
S4658,SAKAMBONA SECONDARY SCHOOL,MBEYA,2025,3.4956,100.0,31.0,7.142857142856992,16.014234875444842,55.428593281632835,24.289991304266103,Safe,-0.7142857142856992,16.014234875444842,10,10,Complete
S3140,NZONDAHAKI SECONDARY SCHOOL,MBEYA,2025,3.1962,98.31932773109243,238.0,0.0,18.865924748277678,62.030016977335606,24.268782517683984,Safe,4.4897705917813635,18.865924748277678,10,10,Complete
S3167,IKAMA SECONDARY SCHOOL,MBEYA,2025,3.7372,95.76271186440678,118.0,16.002700191894395,36.73469387755102,22.82404130460399,24.26870063140426,Safe,-1.6002700191894395,36.73469387755102,10,10,Complete
S1527,KITAMA SECONDARY SCHOOL,MTWARA,2025,3.0278,100.0,54.0,0.0,14.739229024943313,66.15381984021867,24.267914659548595,Safe,2.7692307692307003,14.739229024943313,12,10,Complete
S3285,MWALIGA SECONDARY SCHOOL,MWANZA,2025,3.5913,100.0,55.0,0.0,17.281105990783402,63.5942930693211,24.26261971803135,Safe,6.703439325113525,17.281105990783402,10,10,Complete
S3075,CYRILI CHAMI SECONDARY SCHOOL,KILIMANJARO,2025,4.2789,83.33333333333334,60.0,0.0,51.58371040723982,29.28644664316783,24.261047115122295,Safe,2.654708995729114,51.58371040723982,9,10,Complete
S3155,PANGANI SECONDARY SCHOOL,PWANI,2025,3.4142,99.41176470588235,170.0,0.0,16.934306569343065,63.933262383327595,24.260270685801196,Safe,1.4494816050930046,16.934306569343065,10,10,Complete
S3249,SAWENI SECONDARY SCHOOL,KILIMANJARO,2025,3.8766,93.61702127659575,47.0,0.0,39.782016348773844,41.081495226466984,24.259053472572248,Safe,4.958466358500245,39.782016348773844,9,10,Complete
S4381,KILELENI SECONDARY SCHOOL,TANGA,2025,3.9176,94.3089430894309,123.0,0.0,34.97206703910615,45.87294336829959,24.253503122221723,Safe,6.018576060141841,34.97206703910615,9,10,Complete
