region,year,avg_gpa,total_sat,total_passed,pass_rate
ARUSHA,2016,3.9150619718309856,20857.0,15080.0,72.30186508126768
ARUSHA,2017,3.8498038095238094,17775.0,14457.0,81.33333333333333
ARUSHA,2018,3.750498623853211,20937.0,17209.0,82.19420165257678
ARUSHA,2019,3.626080803571429,23247.0,19862.0,85.43898137394072
ARUSHA,2020,3.4200881057268724,23653.0,21307.0,90.0815964148311
ARUSHA,2021,3.346722907488987,24662.0,23037.0,93.41091557862298
ARUSHA,2022,3.24437805907173,25986.0,24384.0,93.83514199953821
ARUSHA,2023,3.2067532786885247,27587.0,26208.0,95.0012687135245
ARUSHA,2024,3.168593172690763,27553.0,26586.0,96.49040031938446
ARUSHA,2025,3.111812015503876,29802.0,29132.0,97.75182873632642
DAR ES SALAAM,2016,3.9528181506849314,38478.0,24544.0,63.78709912157596
DAR ES SALAAM,2017,3.8786791946308723,35172.0,25662.0,72.96144660525418
DAR ES SALAAM,2018,3.7490448504983394,37832.0,28320.0,74.8572636921125
DAR ES SALAAM,2019,3.6832371237458195,42126.0,31367.0,74.45995347291459
DAR ES SALAAM,2020,3.519297142857143,41271.0,33598.0,81.40825276828765
DAR ES SALAAM,2021,3.4834310104529616,47590.0,36649.0,77.00987602437486
DAR ES SALAAM,2022,3.413540322580645,51779.0,40823.0,78.8408428127233
DAR ES SALAAM,2023,3.4005463722397473,53771.0,43344.0,80.60850644399397
DAR ES SALAAM,2024,3.341785220125786,53915.0,45122.0,83.69099508485579
DAR ES SALAAM,2025,3.254610606060606,55461.0,49564.0,89.36730314996123
DODOMA,2016,4.222549519230769,12745.0,7821.0,61.3652412710867
DODOMA,2017,4.052885507246377,10185.0,7607.0,74.68826705940108
DODOMA,2018,4.036580568720379,12328.0,9302.0,75.45425048669695
DODOMA,2019,3.9274685446009387,13900.0,11323.0,81.46043165467626
DODOMA,2020,3.8125661904761907,15574.0,13597.0,87.30576602029024
DODOMA,2021,3.749046261682243,18527.0,16361.0,88.30895449883953
DODOMA,2022,3.7437316513761467,20010.0,17705.0,88.48075962018991
DODOMA,2023,3.7740412844036695,21091.0,18443.0,87.44488170309612
DODOMA,2024,3.649306818181818,18516.0,17158.0,92.66580254914668
DODOMA,2025,3.570724894514768,20513.0,19344.0,94.30117486471994
GEITA,2016,4.031155999999999,8724.0,6095.0,69.86474094452086
GEITA,2017,3.865928971962617,7914.0,6546.0,82.71417740712661
GEITA,2018,3.901962962962963,10382.0,7859.0,75.69832402234637
GEITA,2019,3.850992727272727,12995.0,10300.0,79.26125432858791
GEITA,2020,3.6942389380530973,14181.0,11959.0,84.33114730978069
GEITA,2021,3.682140350877193,17764.0,15268.0,85.94911056068453
GEITA,2022,3.6366189393939394,18674.0,15932.0,85.31648281032452
GEITA,2023,3.5247906474820145,18343.0,16505.0,89.97982881753256
GEITA,2024,3.4541861635220124,18283.0,17263.0,94.42104687414538
GEITA,2025,3.3557057894736846,20879.0,20091.0,96.2258728866325
IRINGA,2016,3.7868118421052634,9600.0,8558.0,89.14583333333333
IRINGA,2017,3.9457740506329118,12111.0,9198.0,75.94748575675007
IRINGA,2018,3.8002975308641975,12410.0,10488.0,84.51248992747784
IRINGA,2019,3.669980981595092,13313.0,11970.0,89.91211597686471
IRINGA,2020,3.5087963414634142,14172.0,13013.0,91.82190234264748
IRINGA,2021,3.437130952380952,15707.0,14257.0,90.76844718915133
IRINGA,2022,3.418442196531792,16086.0,14765.0,91.78789009076216
IRINGA,2023,3.43891843575419,16379.0,14455.0,88.25325111423163
IRINGA,2024,3.3825573770491806,15603.0,14493.0,92.88598346471832
IRINGA,2025,3.31065291005291,16760.0,15911.0,94.93436754176611
KAGERA,2016,3.9117054852320674,13822.0,11241.0,81.32687020691651
KAGERA,2017,3.9474402542372884,15709.0,12305.0,78.33089311859443
KAGERA,2018,3.8270054166666667,17441.0,14198.0,81.40588269021272
KAGERA,2019,3.742682786885246,20304.0,17113.0,84.28388494877856
KAGERA,2020,3.5776305785123967,20898.0,18819.0,90.05167958656331
KAGERA,2021,3.560755421686747,24755.0,22376.0,90.38982023833569
KAGERA,2022,3.4968385826771655,26112.0,23664.0,90.625
KAGERA,2023,3.5090374045801527,27378.0,24968.0,91.19731171013223
KAGERA,2024,3.4195603773584904,27183.0,25651.0,94.36412463672148
KAGERA,2025,3.3084913494809687,29925.0,29017.0,96.96574770258981
KASKAZINI PEMBA,2016,4.303402857142857,1700.0,1215.0,71.47058823529412
KASKAZINI PEMBA,2017,4.381947058823529,2054.0,1392.0,67.77020447906524
KASKAZINI PEMBA,2018,4.291990909090909,1946.0,1389.0,71.37718396711202
KASKAZINI PEMBA,2019,4.353581578947368,4552.0,2724.0,59.841827768014056
KASKAZINI PEMBA,2020,4.392673809523809,3108.0,1756.0,56.4993564993565
KASKAZINI PEMBA,2021,4.254639534883721,3520.0,2252.0,63.97727272727273
KASKAZINI PEMBA,2022,4.164795454545454,4253.0,2813.0,66.14154714319304
KASKAZINI PEMBA,2023,3.9591613636363636,3579.0,2957.0,82.62084381112042
KASKAZINI PEMBA,2024,3.9267804347826085,3823.0,3147.0,82.31755166099921
KASKAZINI PEMBA,2025,3.819095744680851,3590.0,3223.0,89.77715877437326
KASKAZINI UNGUJA,2016,4.371728,1361.0,1014.0,74.50404114621601
KASKAZINI UNGUJA,2017,4.43424,1632.0,969.0,59.375
KASKAZINI UNGUJA,2018,4.437525,1909.0,1274.0,66.73651126244107
KASKAZINI UNGUJA,2019,4.406608333333334,2975.0,1780.0,59.831932773109244
KASKAZINI UNGUJA,2020,4.537930434782608,2496.0,1296.0,51.92307692307693
KASKAZINI UNGUJA,2021,4.3404384615384615,2207.0,1553.0,70.36701404621658
KASKAZINI UNGUJA,2022,4.317900000000001,2887.0,1964.0,68.0290959473502
KASKAZINI UNGUJA,2023,4.089660714285714,2507.0,2134.0,85.12165935380933
KASKAZINI UNGUJA,2024,4.0003290322580645,2804.0,2327.0,82.9885877318117
KASKAZINI UNGUJA,2025,3.7568774193548387,2064.0,1885.0,91.32751937984496
KATAVI,2016,4.105620588235293,2290.0,1588.0,69.34497816593887
KATAVI,2017,3.9843027777777777,2131.0,1626.0,76.30220553730643
KATAVI,2018,3.928964864864865,2701.0,2072.0,76.71232876712328
KATAVI,2019,3.834,3275.0,2696.0,82.3206106870229
KATAVI,2020,3.7021666666666664,3617.0,3269.0,90.37876693392313
KATAVI,2021,3.6419864864864864,3984.0,3601.0,90.38654618473896
KATAVI,2022,3.6941292682926825,4457.0,4026.0,90.32981826340588
KATAVI,2023,3.7737106382978722,4862.0,4164.0,85.64376799670917
KATAVI,2024,3.7487982142857144,5098.0,4583.0,89.89799921537858
KATAVI,2025,3.61003,5354.0,5026.0,93.87373926036608
KIGOMA,2016,3.9380753086419755,9505.0,7917.0,83.2930036822725
KIGOMA,2017,3.9680243902439023,10617.0,8344.0,78.59093905999812
KIGOMA,2018,3.84166081871345,10376.0,8524.0,82.15111796453354
KIGOMA,2019,3.776915294117647,12116.0,9977.0,82.34565863321228
KIGOMA,2020,3.6334351190476193,14166.0,12124.0,85.58520400960045
KIGOMA,2021,3.6250929411764705,16510.0,14038.0,85.02725620835857
KIGOMA,2022,3.629968715083799,17442.0,14779.0,84.73225547528953
KIGOMA,2023,3.6261227027027028,17500.0,15212.0,86.92571428571428
